Time,logger1,logger2,logger3,logger4,logger5,logger6,logger7,logger8,logger9,logger10,logger11,logger12,logger13,logger14,logger15,logger16,logger17,logger18,logger19,logger20
19-Feb-24,2442,705,2458,295,8141,2253,976,924,29,1480,4269,2606,282465,315492,50872,22,8,142,5544,6323
20-Feb-24,2103,669,2538,278,5167,2793,990,905,14,1465,3868,2600,252044,308153,51148,18,8,138,5376,6317
21-Feb-24,2084,676,2504,305,5066,2835,1016,670,26,1487,3579,2540,245146,315206,50260,22,8,125,5456,6294
22-Feb-24,1961,707,2298,328,5091,2831,991,1156,19,1478,3285,2461,148029,313109,50140,22,11,153,5373,6332
23-Feb-24,2106,659,2077,279,4995,2813,943,842,14,1414,2832,2367,67178,305061,48345,25,7,144,5411,6174
24-Feb-24,1489,538,2247,276,4401,2784,996,756,13,1472,2532,2324,39975,306584,48510,19,7,129,5450,6128
25-Feb-24,730,558,2282,293,4361,2754,955,732,7,1518,2387,2252,35932,305538,45968,19,9,135,5347,6094
26-Feb-24,837,612,2243,290,4580,2747,984,615,9,1490,2151,2215,35603,300576,45218,20,6,133,5178,6040
27-Feb-24,892,642,2165,281,4586,2709,971,809,5,1483,1998,2169,35219,293024,46771,20,8,148,5006,6012
28-Feb-24,882,622,1791,268,4370,2671,876,876,1,1375,1817,2069,47350,281217,47180,19,9,148,4922,5900
29-Feb-24,1031,468,2260,259,3577,2635,858,730,3,1398,1799,1864,57125,280566,44389,18,5,120,4598,5772
1-Mar-24,830,427,2217,239,2903,2585,852,676,5,1409,1759,1620,53806,273182,41092,19,8,129,4440,5678
2-Mar-24,1492,439,2170,251,3286,2560,858,2826,3,1431,1635,1543,50881,268120,39462,19,6,106,4168,5546
3-Mar-24,1441,455,2131,260,3635,2532,901,2773,6,1450,1517,1471,43568,249780,36894,19,5,116,4031,5543
4-Mar-24,1544,444,2059,258,3968,2488,884,1910,2,1440,1468,1350,43105,240489,35875,17,6,112,3749,5526
5-Mar-24,1560,459,1972,247,4359,2430,830,1198,2,1401,1442,1331,43078,243400,34241,22,6,115,3600,5357
6-Mar-24,1774,467,1937,215,3959,2374,827,1587,2,1380,1405,1236,45973,237539,32525,34,21,130,3512,5307
7-Mar-24,2251,459,2036,228,3843,2324,844,2379,1,1402,1372,1192,43235,226708,29995,45,17,117,3403,5235
8-Mar-24,3178,451,1804,224,3771,2272,796,1560,3,1406,1332,1131,43580,200975,30104,47,22,85,3471,5172
9-Mar-24,2227,446,1682,200,3189,2218,785,956,4,1380,1343,1082,56470,167915,29857,41,24,95,3416,5017
10-Mar-24,793,463,1822,185,1742,2163,761,1427,2,1380,1365,1098,59560,130412,31445,49,18,106,3391,4979
11-Mar-24,595,474,1880,190,1245,2095,725,2082,3,1360,1441,1087,56719,99052,27071,47,21,106,3223,4991
12-Mar-24,653,461,1957,191,1241,2049,736,1868,5,1388,1450,1045,49178,82634,25129,50,26,105,3214,4987
13-Mar-24,537,462,1949,188,1374,1999,767,1998,3,1427,1406,985,41751,69160,27402,56,29,112,3041,4992
14-Mar-24,1158,457,1748,193,2151,1944,754,1230,3,1375,1371,916,40835,62233,26796,58,27,103,3024,4986
15-Mar-24,2281,474,1669,186,2607,1890,693,1388,4,1361,1345,918,43815,58676,26937,50,28,95,2993,4914
16-Mar-24,1470,460,1859,166,2947,1856,742,1472,4,1352,1318,928,41850,54277,27856,47,28,74,2690,4887
17-Mar-24,2039,463,1706,162,2699,1820,809,2687,1,1296,1305,912,40519,49530,28627,50,22,73,2673,4867
18-Mar-24,1331,423,1581,154,1302,1757,764,1878,4,1231,1344,926,38925,51061,30510,46,19,81,2580,4781
19-Mar-24,1222,416,1902,152,984,1697,757,1108,4,1267,1394,934,25558,61203,32503,55,20,69,3033,4873
20-Mar-24,551,423,1923,160,999,1652,734,1260,3,1245,1413,924,24138,61195,31228,52,24,64,2938,4920
21-Mar-24,278,428,1922,216,965,1631,775,1492,14,1292,1437,919,23908,57298,29737,63,55,76,2809,4926
22-Mar-24,345,422,1706,217,912,1641,743,1077,1,1282,1456,906,22884,52869,29939,50,29,82,2698,4869
23-Mar-24,365,430,1783,210,948,1620,733,955,1,1275,1510,921,22354,51784,30070,57,24,72,2706,4839
24-Mar-24,515,424,2062,230,1450,1572,761,892,2,1288,1511,896,21218,47408,29443,56,28,68,2514,4843
25-Mar-24,747,415,1684,233,2321,1538,743,664,3,1300,1497,910,20217,42580,29219,54,24,63,2711,4797
26-Mar-24,1011,398,1553,223,1877,1494,719,683,2,1295,1549,935,20714,44402,30354,50,25,61,2548,4726
27-Mar-24,1031,417,1592,219,1918,1452,651,977,1,1218,1611,947,21188,47814,29433,54,22,68,2436,4623
28-Mar-24,880,397,1726,209,1610,1417,716,1422,1,1253,1672,957,20860,45717,28670,52,21,55,2361,4630
29-Mar-24,611,386,1839,231,1683,1349,710,1172,1,1226,1706,949,18043,42178,26848,54,20,61,2302,4690
30-Mar-24,533,395,1748,230,1680,1320,675,967,3,1292,1726,936,17757,41835,26044,48,22,45,2295,4764
31-Mar-24,564,398,1789,242,1760,1312,672,860,1,1207,1727,927,17224,43949,25780,56,23,55,2108,4792
1-Apr-24,591,402,1810,249,1981,1309,688,1042,3,1278,1716,913,16307,43859,24736,54,22,42,2123,4714
2-Apr-24,658,409,1486,214,1678,1279,658,1137,1,1240,1960,908,16719,41812,25848,44,19,50,2038,4692
3-Apr-24,769,411,1675,218,1321,1251,662,1102,0,1239,2474,929,16988,40750,25748,50,18,46,2011,4660
4-Apr-24,509,405,1681,224,1727,1603,646,1052,2,1236,2569,917,16719,41449,25199,47,24,41,2034,4668
5-Apr-24,399,401,1710,233,1427,1614,638,904,1,1223,2650,917,16612,43369,24757,53,22,36,1836,4627
6-Apr-24,402,400,1807,220,1631,1612,692,2122,1,1225,2627,910,16238,42158,23459,46,19,53,1781,4663
7-Apr-24,761,407,1667,240,1551,1604,640,1727,0,1226,2594,853,16087,38689,23504,51,18,42,1682,4586
8-Apr-24,655,397,1780,259,1530,1585,654,1340,1,1258,2543,760,15617,33408,23304,51,20,33,1593,4666
9-Apr-24,577,397,1811,252,1941,1567,645,1020,2,1242,2509,758,14772,32275,22551,51,18,34,1656,4574
10-Apr-24,542,397,1468,243,1526,1534,640,1047,1,1215,2563,788,15107,32465,23672,46,26,36,1607,4616
11-Apr-24,539,385,1516,223,923,1496,649,1041,1,1202,2650,748,14261,35248,24098,34,20,38,1486,4558
12-Apr-24,472,364,1634,232,757,1455,644,1222,1,1183,2750,745,12848,36344,23416,51,26,26,1391,4538
13-Apr-24,525,382,1854,239,758,1428,614,1179,1,1196,2766,762,12547,36796,23013,43,28,36,1358,4538
14-Apr-24,480,392,1867,262,784,1391,655,1487,1,1179,2735,757,12838,37691,22799,50,25,25,1294,4557
15-Apr-24,456,391,1873,250,755,1354,636,1352,1,1201,2668,737,13505,37853,22948,50,20,30,1281,4552
16-Apr-24,476,389,1674,251,659,1309,646,1088,2,1185,2611,714,14789,36984,23606,48,23,24,1226,4517
17-Apr-24,499,368,1671,245,597,1262,629,1017,4,1161,2575,683,15136,36552,23277,46,22,36,1144,4525
18-Apr-24,412,375,1635,252,598,1217,638,2868,3,1199,2533,644,15339,36684,23643,47,18,26,1075,4497
19-Apr-24,385,383,1596,246,581,1173,644,2566,1,1162,2501,643,13367,32922,23640,46,15,24,974,4465
20-Apr-24,472,384,1600,242,558,1173,629,1974,2,1161,2473,637,11284,26832,24564,44,25,26,913,4461
21-Apr-24,346,368,1537,338,477,1122,650,1676,0,1117,2451,638,8642,24898,33293,49,20,29,824,4423
22-Apr-24,260,375,1737,373,477,1081,647,1508,2,1173,2435,637,7929,31412,38705,45,19,29,651,4437
23-Apr-24,270,375,1748,390,492,1035,619,1632,1,1140,2370,622,8912,33314,41354,50,24,30,693,4439
24-Apr-24,279,379,1689,366,465,980,615,2391,0,1147,2303,565,8729,32268,41883,47,18,34,681,4419
25-Apr-24,292,393,1830,389,502,935,605,2305,1,1166,2228,525,8821,30399,44073,46,17,31,605,4412
26-Apr-24,363,394,1783,400,557,894,615,1585,1,1169,2113,463,9542,28663,44164,49,19,29,615,4398
27-Apr-24,417,421,1728,400,528,860,602,1450,3,1157,2020,404,9649,23979,43776,47,18,30,576,4405
28-Apr-24,359,441,1666,383,558,817,647,1543,0,1150,1931,381,9588,22134,42356,43,18,28,498,4404
29-Apr-24,350,436,1617,367,562,763,606,1770,2,1142,1851,344,9225,22504,42676,50,22,27,1546,4636
30-Apr-24,313,428,1687,372,594,720,636,2459,1,1131,1792,348,8810,22032,41175,48,18,27,3749,5235
1-May-24,341,416,1747,376,687,682,633,2427,1,1163,2063,335,8973,24006,41895,56,27,43,4876,5646
2-May-24,297,419,1649,378,1000,636,611,1844,0,1141,2396,290,9151,24702,44457,54,26,91,5221,5826
3-May-24,325,406,1591,330,1611,576,619,1796,1,1114,2583,272,8962,26589,44377,53,24,104,5133,5781
4-May-24,314,406,1688,348,1790,539,592,3118,1,1115,2561,276,8616,31841,44828,51,25,72,5077,5775
5-May-24,301,396,1628,422,1976,492,607,2076,2,1112,2520,279,8754,37023,43419,52,17,68,5008,5781
6-May-24,291,397,1735,458,2223,457,621,2060,0,1166,2499,282,9096,39042,44646,52,18,64,4785,5707
7-May-24,352,398,1672,438,2407,456,610,2018,0,1130,2449,245,9684,38177,46088,47,19,56,4595,5634
8-May-24,308,415,1642,443,2503,422,666,2642,3,1128,2386,225,10355,37026,45161,50,21,61,4200,5557
9-May-24,365,411,1569,450,2461,390,657,2267,2,1094,2334,201,10623,39066,46622,53,18,48,3996,5432
10-May-24,386,407,1534,435,2103,361,640,2336,4,1084,2306,236,9893,40278,47226,51,17,61,3765,5302
11-May-24,317,405,1721,537,1971,330,634,1848,3,1104,2314,293,9472,38197,45222,42,20,78,3685,5242
12-May-24,308,417,1783,546,1981,297,679,1573,3,1122,2290,279,9948,32935,47144,54,27,75,3477,5219
13-May-24,386,417,1658,534,1744,259,621,1423,4,1148,2238,220,10274,29968,46827,52,20,50,3219,5130
14-May-24,377,411,1628,528,1522,228,641,1328,3,1115,2189,208,9969,30628,48075,48,17,34,3112,5039
15-May-24,369,422,1708,523,1353,195,630,1167,1,1100,2148,227,9770,29941,47498,41,23,64,2959,5011
16-May-24,183,194,765,232,564,85,284,471,1,473,923,87,4353,12904,20702,25,8,25,1271,2204
