Date_Time_UTC_,SoilVolumetricWaterContent10Cm___
10/11/2023 0:00,8.717361111
10/12/2023 0:00,8.764722222
10/13/2023 0:00,9.000902778
10/14/2023 0:00,9.180729167
10/15/2023 0:00,9.205833333
10/16/2023 0:00,9.082152778
10/17/2023 0:00,8.973541667
10/18/2023 0:00,9.010381944
10/19/2023 0:00,9.166736111
10/20/2023 0:00,9.248576389
10/21/2023 0:00,9.392083333
10/22/2023 0:00,9.592534722
10/23/2023 0:00,9.657534722
10/24/2023 0:00,9.385902778
10/25/2023 0:00,9.334583333
10/26/2023 0:00,11.77225694
10/27/2023 0:00,22.53052083
10/28/2023 0:00,25.19177083
10/29/2023 0:00,24.52107639
10/30/2023 0:00,24.7821875
10/31/2023 0:00,24.02371528
11/1/2023 0:00,23.33420139
11/2/2023 0:00,22.96690972
11/3/2023 0:00,22.90621528
11/4/2023 0:00,22.91559028
11/5/2023 0:00,22.91364583
11/6/2023 0:00,22.86850694
11/7/2023 0:00,22.82458333
11/8/2023 0:00,22.81430769
11/9/2023 0:00,22.5922449
11/10/2023 0:00,25.385
11/11/2023 0:00,24.77538194
11/12/2023 0:00,25.75041667
11/13/2023 0:00,26.05607639
11/14/2023 0:00,24.98944444
11/15/2023 0:00,24.63638889
11/16/2023 0:00,24.47680556
11/17/2023 0:00,24.38795139
11/18/2023 0:00,24.4396875
11/19/2023 0:00,24.1828125
11/20/2023 0:00,24.08729167
11/21/2023 0:00,24.10190972
11/22/2023 0:00,23.75979167
11/23/2023 0:00,23.56045139
11/24/2023 0:00,23.37295139
11/25/2023 0:00,23.43701389
11/26/2023 0:00,23.42541667
11/27/2023 0:00,23.31475694
11/28/2023 0:00,23.24253472
11/29/2023 0:00,23.22576389
11/30/2023 0:00,23.0078125
12/1/2023 0:00,23.44479167
12/2/2023 0:00,23.48854167
12/3/2023 0:00,23.37385417
12/4/2023 0:00,23.30090278
12/5/2023 0:00,23.16520833
12/6/2023 0:00,23.14180556
12/7/2023 0:00,23.08322917
12/8/2023 0:00,23.24083333
12/9/2023 0:00,23.23027778
12/10/2023 0:00,23.04631944
12/11/2023 0:00,22.56118056
12/12/2023 0:00,22.4084375
12/13/2023 0:00,22.40201389
12/14/2023 0:00,22.22805556
12/15/2023 0:00,22.22
12/16/2023 0:00,22.48847826
12/17/2023 0:00,22.71297101
12/18/2023 0:00,22.68370968
12/19/2023 0:00,22.69090278
12/20/2023 0:00,22.76796429
12/21/2023 0:00,22.80875
12/22/2023 0:00,22.70440972
12/23/2023 0:00,22.85363296
12/24/2023 0:00,25.9553125
12/25/2023 0:00,25.47003509
12/26/2023 0:00,24.66088968
12/27/2023 0:00,24.37957746
12/28/2023 0:00,24.20681159
12/29/2023 0:00,24.06177083
12/30/2023 0:00,23.9146875
12/31/2023 0:00,23.88225694
1/1/2024 0:00,23.92826389
1/2/2024 0:00,23.75670139
1/3/2024 0:00,26.08270833
1/4/2024 0:00,24.96079861
1/5/2024 0:00,25.59270833
1/6/2024 0:00,24.89243056
1/7/2024 0:00,24.54576389
1/8/2024 0:00,26.46472222
1/9/2024 0:00,25.40461806
1/10/2024 0:00,24.74694853
